state,updatedon,totaltested,positive
Tripura,03/05/2020,5162,5
Tripura,04/05/2020,5394,17
Tripura,05/05/2020,5850,30
Tripura,06/05/2020,6228,43
Tripura,07/05/2020,6917,89
Tripura,08/05/2020,7448,89
Tripura,09/05/2020,8340,119
Tripura,10/05/2020,9091,136
Tripura,11/05/2020,9596,154
Tripura,12/05/2020,10344,155
Tripura,13/05/2020,11146,155
Tripura,14/05/2020,11804,156
Tripura,15/05/2020,12561,156
Tripura,16/05/2020,13178,167
Tripura,17/05/2020,13750,167
Tripura,18/05/2020,14286,167
Tripura,19/05/2020,15083,169
Tripura,20/05/2020,15822,173
Tripura,21/05/2020,16873,173
Tripura,22/05/2020,17721,175
Tripura,23/05/2020,18737,191
Tripura,24/05/2020,19278,191
Tripura,25/05/2020,20871,198
Tripura,26/05/2020,22049,209
Tripura,27/05/2020,23264,232
Tripura,28/05/2020,24126,242
Tripura,29/05/2020,25403,244
Tripura,30/05/2020,26376,271
Tripura,31/05/2020,27475,316
Tripura,01/06/2020,28360,423
Tripura,02/06/2020,29066,471
Tripura,03/06/2020,30481,622
Tripura,04/06/2020,31138,646
Tripura,05/06/2020,32300,694
Tripura,06/06/2020,33331,749
Tripura,07/06/2020,35263,802
Tripura,08/06/2020,37453,840
Tripura,09/06/2020,38572,866
Tripura,10/06/2020,40027,897
Tripura,11/06/2020,41389,915
Tripura,12/06/2020,40837,960
Tripura,13/06/2020,43972,1042
Tripura,14/06/2020,46015,1075
Tripura,15/06/2020,47683,1084
Tripura,16/06/2020,49208,1090
Tripura,17/06/2020,50268,1133
Tripura,18/06/2020,51495,1154
Tripura,19/06/2020,52752,1181
Tripura,20/06/2020,53905,1189
Tripura,21/06/2020,54983,1224
Tripura,22/06/2020,56035,1240
Tripura,23/06/2020,56901,1263
Tripura,24/06/2020,57753,1263
Tripura,25/06/2020,59025,1295
Tripura,26/06/2020,60199,1330
Uttar Pradesh,05/04/2020,5255,278
Uttar Pradesh,05/04/2020,5255,278
Uttar Pradesh,09/04/2020,8402,410
Uttar Pradesh,10/04/2020,9332,433
Uttar Pradesh,11/04/2020,10595,452
Uttar Pradesh,12/04/2020,11855,483
Uttar Pradesh,13/04/2020,13287,558
Uttar Pradesh,14/04/2020,15914,660
Uttar Pradesh,15/04/2020,19506,727
Uttar Pradesh,16/04/2020,21384,805
Uttar Pradesh,17/04/2020,24643,849
Uttar Pradesh,18/04/2020,28484,974
Uttar Pradesh,19/04/2020,31767,1100
Uttar Pradesh,20/04/2020,34326,1184
Uttar Pradesh,21/04/2020,37933,1337
Uttar Pradesh,22/04/2020,42192,1449
Uttar Pradesh,23/04/2020,45483,1510
Uttar Pradesh,24/04/2020,53166,1621
Uttar Pradesh,25/04/2020,56851,1793
Uttar Pradesh,26/04/2020,61799,1873
Uttar Pradesh,27/04/2020,67145,1896
Uttar Pradesh,28/04/2020,70307,2053
Uttar Pradesh,29/04/2020,73716,2134
Uttar Pradesh,30/04/2020,78013,2211
Uttar Pradesh,01/05/2020,82459,2328
Uttar Pradesh,02/05/2020,85729,2487
Uttar Pradesh,03/05/2020,95841,2645
Uttar Pradesh,04/05/2020,98300,2766
Uttar Pradesh,05/05/2020,105234,2880
Uttar Pradesh,06/05/2020,109888,2998
Uttar Pradesh,07/05/2020,113670,3071
Uttar Pradesh,08/05/2020,119688,3214
Uttar Pradesh,09/05/2020,124791,3373
Uttar Pradesh,10/05/2020,129955,3467
Uttar Pradesh,11/05/2020,135760,3573
Uttar Pradesh,12/05/2020,140166,3664
Uttar Pradesh,13/05/2020,145637,3578
Uttar Pradesh,14/05/2020,153139,3902
Uttar Pradesh,15/05/2020,159282,4057
Uttar Pradesh,16/05/2020,163105,4258
Uttar Pradesh,17/05/2020,172219,4464
Uttar Pradesh,18/05/2020,176479,4605
Uttar Pradesh,19/05/2020,182184,4926
Uttar Pradesh,20/05/2020,191164,5175
Uttar Pradesh,21/05/2020,206811,5515
Uttar Pradesh,22/05/2020,214060,5735
Uttar Pradesh,23/05/2020,217867,6017
Uttar Pradesh,24/05/2020,229621,6268
Uttar Pradesh,25/05/2020,235622,6497
Uttar Pradesh,26/05/2020,240588,6724
Uttar Pradesh,27/05/2020,240588,6991
Uttar Pradesh,28/05/2020,256267,7170
Uttar Pradesh,29/05/2020,270920,7445
Uttar Pradesh,30/05/2020,279288,7701
Uttar Pradesh,31/05/2020,289892,8075
Uttar Pradesh,01/06/2020,297903,8361
Uttar Pradesh,02/06/2020,307621,8729
Uttar Pradesh,03/06/2020,317780,8870
Uttar Pradesh,04/06/2020,330663,9237
Uttar Pradesh,05/06/2020,344717,9733
Uttar Pradesh,06/06/2020,355085,10103
Uttar Pradesh,07/06/2020,360258,10536
Uttar Pradesh,08/06/2020,380723,10947
Uttar Pradesh,09/06/2020,391286,11335
Uttar Pradesh,10/06/2020,404637,11610
Uttar Pradesh,11/06/2020,420669,12088
Uttar Pradesh,12/06/2020,435601,12619
Uttar Pradesh,13/06/2020,449616,13118
Uttar Pradesh,14/06/2020,467702,13615
Uttar Pradesh,15/06/2020,466081,14091
Uttar Pradesh,16/06/2020,480047,14598
Uttar Pradesh,17/06/2020,496206,15181
Uttar Pradesh,18/06/2020,515280,15785
Uttar Pradesh,19/06/2020,532505,16594
Uttar Pradesh,20/06/2020,542972,17135
Uttar Pradesh,21/06/2020,560697,17731
Uttar Pradesh,22/06/2020,574304,18322
Uttar Pradesh,23/06/2020,588186,18893
Uttar Pradesh,24/06/2020,603390,19557
Uttar Pradesh,25/06/2020,620954,20193
Uttar Pradesh,26/06/2020,642833,20943
Uttar Pradesh,27/06/2020,663096,21549
Uttarakhand,02/04/2020,678,7
Uttarakhand,07/04/2020,1289,32
Uttarakhand,09/04/2020,1531,35
Uttarakhand,10/04/2020,1688,35
Uttarakhand,11/04/2020,1705,35
Uttarakhand,12/04/2020,1820,35
Uttarakhand,13/04/2020,1998,35
Uttarakhand,14/04/2020,2174,35
Uttarakhand,15/04/2020,2413,37
Uttarakhand,16/04/2020,2593,37
Uttarakhand,17/04/2020,2831,40
Uttarakhand,18/04/2020,3158,42
Uttarakhand,19/04/2020,3344,44
Uttarakhand,20/04/2020,3677,46
Uttarakhand,21/04/2020,4061,46
Uttarakhand,22/04/2020,4275,46
Uttarakhand,23/04/2020,4473,47
Uttarakhand,24/04/2020,4767,48
Uttarakhand,25/04/2020,5194,48
Uttarakhand,26/04/2020,5277,50
Uttarakhand,27/04/2020,5463,51
Uttarakhand,28/04/2020,5739,52
Uttarakhand,29/04/2020,6046,54
Uttarakhand,30/04/2020,6565,57
Uttarakhand,01/05/2020,7042,57
Uttarakhand,02/05/2020,7369,59
Uttarakhand,03/05/2020,7578,60
Uttarakhand,04/05/2020,7806,60
Uttarakhand,05/05/2020,8060,61
Uttarakhand,06/05/2020,8346,61
Uttarakhand,07/05/2020,8783,61
Uttarakhand,08/05/2020,9116,61
Uttarakhand,09/05/2020,9386,67
Uttarakhand,10/05/2020,9668,68
Uttarakhand,11/05/2020,9915,68
Uttarakhand,12/05/2020,10471,68
Uttarakhand,13/05/2020,10792,70
Uttarakhand,14/05/2020,11294,75
Uttarakhand,15/05/2020,12045,79
Uttarakhand,16/05/2020,12597,88
Uttarakhand,17/05/2020,13212,92
Uttarakhand,18/05/2020,13870,93
Uttarakhand,19/05/2020,14691,104
Uttarakhand,20/05/2020,15503,120
Uttarakhand,21/05/2020,16528,132
Uttarakhand,22/05/2020,18008,151
Uttarakhand,23/05/2020,19248,173
Uttarakhand,24/05/2020,20969,293
Uttarakhand,25/05/2020,22117,332
Uttarakhand,26/05/2020,23076,400
Uttarakhand,27/05/2020,23975,438
Uttarakhand,28/05/2020,25380,493
Uttarakhand,29/05/2020,26951,602
Uttarakhand,30/05/2020,28433,727
Uttarakhand,31/05/2020,30438,802
Uttarakhand,01/06/2020,31703,929
Uttarakhand,02/06/2020,33081,999
Uttarakhand,03/06/2020,34413,1066
Uttarakhand,04/06/2020,35117,1145
Uttarakhand,05/06/2020,35967,1215
Uttarakhand,06/06/2020,36638,1245
Uttarakhand,07/06/2020,37166,1341
Uttarakhand,08/06/2020,39133,1380
Uttarakhand,09/06/2020,40264,1488
Uttarakhand,10/06/2020,40872,1560
Uttarakhand,11/06/2020,41888,1637
Uttarakhand,12/06/2020,42783,1692
Uttarakhand,13/06/2020,44040,1759
Uttarakhand,14/06/2020,45344,1816
Uttarakhand,15/06/2020,46573,1836
Uttarakhand,16/06/2020,47870,1912
Uttarakhand,17/06/2020,49462,1985
Uttarakhand,18/06/2020,50796,2079
Uttarakhand,19/06/2020,53155,2127
Uttarakhand,20/06/2020,54512,2278
Uttarakhand,21/06/2020,55819,2324
Uttarakhand,22/06/2020,56724,2401
Uttarakhand,23/06/2020,58338,2505
Uttarakhand,24/06/2020,59616,2568
Uttarakhand,25/06/2020,61165,2642
Uttarakhand,26/06/2020,62500,2725
Uttarakhand,27/06/2020,63960,2791
West Bengal,01/04/2020,659,37
West Bengal,04/04/2020,1042,
West Bengal,06/04/2020,1301,
West Bengal,07/04/2020,1487,
West Bengal,09/04/2020,1889,
West Bengal,10/04/2020,2095,
West Bengal,11/04/2020,2286,126
West Bengal,12/04/2020,2523,134
West Bengal,13/04/2020,2793,152
West Bengal,14/04/2020,3081,190
West Bengal,15/04/2020,3470,213
West Bengal,16/04/2020,3811,231
West Bengal,17/04/2020,4212,255
West Bengal,18/04/2020,4630,287
West Bengal,19/04/2020,5045,310
West Bengal,20/04/2020,5469,339
West Bengal,21/04/2020,6182,392
West Bengal,22/04/2020,7037,423
West Bengal,23/04/2020,7990,456
West Bengal,24/04/2020,8933,514
West Bengal,25/04/2020,9880,571
West Bengal,26/04/2020,10893,611
West Bengal,27/04/2020,12043,649
West Bengal,28/04/2020,13223,697
West Bengal,29/04/2020,14620,725
West Bengal,30/04/2020,16525,758
West Bengal,01/05/2020,18566,
West Bengal,02/05/2020,20976,795
West Bengal,03/05/2020,22915,922
West Bengal,04/05/2020,25116,1259
West Bengal,05/05/2020,27571,1344
West Bengal,06/05/2020,30141,1456
West Bengal,07/05/2020,32752,1548
West Bengal,08/05/2020,35767,1678
West Bengal,09/05/2020,39368,1786
West Bengal,10/05/2020,43414,1939
West Bengal,11/05/2020,47615,2063
West Bengal,12/05/2020,52622,2173
West Bengal,13/05/2020,57632,2290
West Bengal,14/05/2020,62837,2377
West Bengal,15/05/2020,69543,2461
West Bengal,16/05/2020,77288,2576
West Bengal,17/05/2020,85956,2677
West Bengal,18/05/2020,93570,2825
West Bengal,19/05/2020,102282,2961
West Bengal,20/05/2020,111002,3103
West Bengal,21/05/2020,115244,3197
West Bengal,22/05/2020,120599,3332
West Bengal,23/05/2020,129608,3459
West Bengal,24/05/2020,138824,3667
West Bengal,25/05/2020,148049,3816
West Bengal,26/05/2020,157277,4009
West Bengal,27/05/2020,166513,4192
West Bengal,28/05/2020,175769,4536
West Bengal,29/05/2020,185051,4813
West Bengal,30/05/2020,194397,5130
West Bengal,31/05/2020,203751,5501
West Bengal,01/06/2020,213231,5772
West Bengal,02/06/2020,222726,6168
West Bengal,03/06/2020,232225,6508
West Bengal,04/06/2020,241831,6876
West Bengal,05/06/2020,251517,7303
West Bengal,06/06/2020,261288,7738
West Bengal,07/06/2020,271074,8187
West Bengal,08/06/2020,280098,8613
West Bengal,09/06/2020,287900,8985
West Bengal,10/06/2020,297419,9328
West Bengal,11/06/2020,306941,9768
West Bengal,12/06/2020,315699,10244
West Bengal,13/06/2020,324707,10698
West Bengal,14/06/2020,333733,11087
West Bengal,15/06/2020,343242,11494
West Bengal,16/06/2020,351754,11909
West Bengal,17/06/2020,360976,12300
West Bengal,18/06/2020,370291,12735
West Bengal,19/06/2020,380612,13090
West Bengal,20/06/2020,390942,13531
West Bengal,21/06/2020,401491,13945
West Bengal,22/06/2020,410854,14358
West Bengal,23/06/2020,420277,14728
West Bengal,24/06/2020,429766,15173
West Bengal,25/06/2020,439258,15648
West Bengal,26/06/2020,448795,16190
West Bengal,27/06/2020,458343,16711
